,trip_date,time_indicator,trips,Day,Weekday ,Holiday ,Month,Season
723,5/2/19,AM Period,11465,TUESDAY,WEEKDAY,0,2,Spring
1416,5/2/19,Lunch Period,10459,TUESDAY,WEEKDAY,0,2,Spring
527,6/2/19,Lunch Period,10568,WEDNESDAY,WEEKDAY,0,2,Spring
1154,6/2/19,Night,8947,WEDNESDAY,WEEKDAY,0,2,Spring
1157,6/2/19,PM Period,20017,WEDNESDAY,WEEKDAY,0,2,Spring
1258,6/2/19,AM Period,11419,WEDNESDAY,WEEKDAY,0,2,Spring
153,7/2/19,Night,11315,THURSDAY,WEEKDAY,0,2,Spring
825,7/2/19,AM Period,12482,THURSDAY,WEEKDAY,0,2,Spring
830,7/2/19,Lunch Period,11982,THURSDAY,WEEKDAY,0,2,Spring
1048,7/2/19,PM Period,22825,THURSDAY,WEEKDAY,0,2,Spring
264,8/2/19,Night,10592,FRIDAY,WEEKDAY,0,2,Spring
321,8/2/19,Lunch Period,11844,FRIDAY,WEEKDAY,0,2,Spring
955,8/2/19,AM Period,12726,FRIDAY,WEEKDAY,0,2,Spring
1354,8/2/19,PM Period,23546,FRIDAY,WEEKDAY,0,2,Spring
832,9/2/19,PM Period,11447,SATURDAY,WEEKEND,0,2,Spring
891,9/2/19,Night,11907,SATURDAY,WEEKEND,0,2,Spring
1046,9/2/19,Lunch Period,5224,SATURDAY,WEEKEND,0,2,Spring
1306,9/2/19,AM Period,3753,SATURDAY,WEEKEND,0,2,Spring
57,10/2/19,PM Period,7407,SUNDAY,WEEKEND,0,2,Spring
433,10/2/19,Lunch Period,4405,SUNDAY,WEEKEND,0,2,Spring
941,10/2/19,Night,11103,SUNDAY,WEEKEND,0,2,Spring
1353,10/2/19,AM Period,3648,SUNDAY,WEEKEND,0,2,Spring
70,11/2/19,AM Period,11111,MONDAY,WEEKDAY,0,2,Spring
435,11/2/19,Lunch Period,9778,MONDAY,WEEKDAY,0,2,Spring
483,11/2/19,PM Period,18573,MONDAY,WEEKDAY,0,2,Spring
994,11/2/19,Night,7742,MONDAY,WEEKDAY,0,2,Spring
