,dropoff_community_area,end_hour,cal_day_desc,average_speed,total_trips,avg_trips
103,3,16,All,21.388895380502067,11101,30.413698630136988
104,2,9,All,17.939039554524143,2923,8.008219178082191
105,63,9,All,26.29178638475775,59,0.16164383561643836
106,35,12,All,21.032375272762525,2912,7.978082191780822
107,49,17,All,25.33009732624961,627,1.7178082191780821
108,27,15,All,22.440966301862808,919,2.5178082191780824
109,70,11,All,21.27034323653679,329,0.9013698630136986
110,26,10,All,35.88984834968778,223,0.6109589041095891
111,56,19,All,24.822469692994762,5292,14.498630136986302
112,24,3,All,22.077855584252895,13187,36.12876712328767
113,2,21,All,25.522572384232753,3305,9.054794520547945
114,2,8,All,17.80593857875134,2823,7.734246575342466
115,14,23,All,28.377556082034545,2557,7.005479452054795
116,14,20,All,26.459561440328084,2675,7.328767123287672
117,11,7,All,27.80262619964442,572,1.5671232876712329
118,77,14,All,25.137943751768532,7844,21.49041095890411
119,77,13,All,25.319283749298805,7057,19.334246575342465
120,58,17,All,19.81911804865609,209,0.5726027397260274
121,12,7,All,31.273378701169452,171,0.4684931506849315
122,12,21,All,37.51903400302611,896,2.4547945205479453
123,15,13,All,20.98381934627347,1690,4.63013698630137
124,10,16,All,23.41605840077594,1660,4.5479452054794525
125,10,19,All,30.071233605113786,1742,4.772602739726027
126,24,4,All,24.401722788247014,9062,24.827397260273973
127,4,20,All,27.37112281490395,6074,16.64109589041096
128,4,23,All,29.29941607971111,4986,13.66027397260274
129,48,9,All,23.474437837199233,639,1.7506849315068493
130,29,12,All,23.487109538123708,671,1.8383561643835618
131,46,8,All,31.78222320052828,120,0.3287671232876712
132,49,11,All,36.32347394177374,672,1.841095890410959
133,50,18,All,31.838768386335733,137,0.37534246575342467
134,53,18,All,25.695037733024787,299,0.8191780821917808
135,48,17,All,26.248601604065747,269,0.736986301369863
136,1,8,All,19.486670940918977,2104,5.764383561643836
137,69,11,All,33.26648872176569,938,2.56986301369863
138,73,16,All,25.1196862058506,547,1.4986301369863013
139,35,14,All,20.86992308436985,3004,8.23013698630137
140,35,16,All,18.26179419949473,3439,9.421917808219177
141,35,11,All,18.87659408493013,2643,7.241095890410959
142,34,15,All,22.517827922883548,2493,6.83013698630137
143,38,15,All,21.526833290592926,1451,3.9753424657534246
144,60,15,All,24.510278718470794,1222,3.347945205479452
145,66,0,All,34.325461940732126,135,0.3698630136986301
146,39,21,All,37.08127826354258,1733,4.747945205479452
147,44,16,All,24.946307394308004,873,2.3917808219178083
148,44,21,All,36.57738805431462,528,1.4465753424657535
149,35,22,All,26.369155376574227,1528,4.186301369863013
150,35,23,All,25.066467636761253,1373,3.7616438356164386
151,5,23,All,31.334070950883763,6115,16.753424657534246
152,23,22,All,26.01883116779689,946,2.591780821917808
153,16,13,All,23.82564895512381,3371,9.235616438356164
154,13,15,All,20.526007816888367,1366,3.7424657534246575
155,26,22,All,36.152756534395046,161,0.4410958904109589
156,69,15,All,26.134004661684138,1088,2.9808219178082194
157,39,19,All,30.19587999207868,2010,5.506849315068493
158,24,19,All,19.493778439258502,44086,120.78356164383561
