"","X.1","X","ï..","trip_date","time_indicator","trips","Weekday","Holiday","Season","Day_of_Week","Month","taxi_id","Distance"
"86",86,86,995,"2019-01-22","Night",7573,"WEEKDAY",0,"Winter","Tue","Jan",1952,54043.696
"87",87,87,1145,"2019-01-22","Lunch Period",10349,"WEEKDAY",0,"Winter","Tue","Jan",2493,44382.176
"88",88,88,1413,"2019-01-22","AM Period",11885,"WEEKDAY",0,"Winter","Tue","Jan",2229,55784
"89",89,89,430,"2019-01-23","Night",9532,"WEEKDAY",0,"Winter","Wed","Jan",2221,78676.384
"90",90,90,431,"2019-01-23","PM Period",20668,"WEEKDAY",0,"Winter","Wed","Jan",3225,104388.736
"91",91,91,627,"2019-01-23","Lunch Period",10684,"WEEKDAY",0,"Winter","Wed","Jan",2543,48581.104
"92",92,92,668,"2019-01-23","AM Period",12284,"WEEKDAY",0,"Winter","Wed","Jan",2157,55739.696
"93",93,93,157,"2019-01-24","PM Period",22395,"WEEKDAY",0,"Winter","Thu","Jan",3307,109517.936
"94",94,94,419,"2019-01-24","AM Period",12199,"WEEKDAY",0,"Winter","Thu","Jan",2138,53316.464
"95",95,95,886,"2019-01-24","Night",10465,"WEEKDAY",0,"Winter","Thu","Jan",2361,76866.512
"96",96,96,1244,"2019-01-24","Lunch Period",11683,"WEEKDAY",0,"Winter","Thu","Jan",2597,54257.952
"97",97,97,113,"2019-01-25","PM Period",19786,"WEEKDAY",0,"Winter","Fri","Jan",3226,93371.856
"98",98,98,155,"2019-01-25","Night",10033,"WEEKDAY",0,"Winter","Fri","Jan",2322,65205.536
"99",99,99,1042,"2019-01-25","AM Period",11969,"WEEKDAY",0,"Winter","Fri","Jan",2119,49125.6
"100",100,100,1346,"2019-01-25","Lunch Period",10858,"WEEKDAY",0,"Winter","Fri","Jan",2544,50698
"101",101,101,67,"2019-01-26","Lunch Period",4844,"WEEKEND",0,"Winter","Sat","Jan",1508,24021.92
"102",102,102,78,"2019-01-26","AM Period",3485,"WEEKEND",0,"Winter","Sat","Jan",1059,21847.28
"103",103,103,1057,"2019-01-26","Night",10710,"WEEKEND",0,"Winter","Sat","Jan",1809,47014.736
"104",104,104,1210,"2019-01-26","PM Period",10626,"WEEKEND",0,"Winter","Sat","Jan",2245,46776.48
"105",105,105,838,"2019-01-27","Lunch Period",4255,"WEEKEND",0,"Winter","Sun","Jan",1516,29381.664
"106",106,106,1114,"2019-01-27","AM Period",3543,"WEEKEND",0,"Winter","Sun","Jan",1125,23513.744
"107",107,107,1216,"2019-01-27","PM Period",7851,"WEEKEND",0,"Winter","Sun","Jan",2192,71971.984
"108",108,108,1359,"2019-01-27","Night",9812,"WEEKEND",0,"Winter","Sun","Jan",1834,56411.552
"109",109,109,669,"2019-01-28","PM Period",16518,"WEEKDAY",0,"Winter","Mon","Jan",2830,80354.304
"110",110,110,727,"2019-01-28","Lunch Period",7289,"WEEKDAY",0,"Winter","Mon","Jan",2001,32154.288
"111",111,111,1112,"2019-01-28","Night",6731,"WEEKDAY",0,"Winter","Mon","Jan",1840,49477.008
"112",112,112,1163,"2019-01-28","AM Period",8807,"WEEKDAY",0,"Winter","Mon","Jan",1651,37097.968
"113",113,113,69,"2019-01-29","Night",5978,"WEEKDAY",0,"Winter","Tue","Jan",1853,45828.624
