,dropoff_community_area,dropoff_ca,start_hour,cal_day_desc,average_speed,total_trips,avg_trips
155,5,NORTH CENTER,12,Weekdays,28.13928576,2395,20.64655172
156,16,IRVING PARK,0,Weekend/Holidays,25.0654225,1565,13.49137931
157,13,NORTH PARK,21,Weekend/Holidays,19.56225017,221,1.905172414
158,26,WEST GARFIELD PARK,5,Weekdays,44.60511298,54,0.465517241
159,56,GARFIELD RIDGE,20,Weekdays,27.16227196,2555,22.02586207
160,1,ROGERS PARK,21,Weekend/Holidays,30.00755814,1145,9.870689655
161,1,ROGERS PARK,20,Weekdays,26.44058181,2921,25.18103448
162,1,ROGERS PARK,4,Weekdays,25.03247257,1084,9.344827586
163,24,WEST TOWN,0,Weekdays,32.6932247,10849,93.52586207
164,22,LOGAN SQUARE,14,Weekdays,25.84017105,4326,37.29310345
165,76,OHARE,18,Weekdays,25.69457474,16696,143.9310345
166,33,NEAR SOUTH SIDE,17,Weekend/Holidays,20.96328732,7667,66.09482759
167,32,LOOP,17,Weekend/Holidays,20.51574171,40347,347.8189655
168,8,NEAR NORTH SIDE,22,Weekend/Holidays,23.46865422,54440,469.3103448
169,28,NEAR WEST SIDE,18,Weekend/Holidays,18.26223777,23186,199.8793103
170,24,WEST TOWN,9,Weekdays,22.36597022,6901,59.49137931
171,28,NEAR WEST SIDE,2,Weekdays,27.51661548,3266,28.15517241
172,31,LOWER WEST SIDE,23,Weekend/Holidays,26.59151636,596,5.137931034
173,31,LOWER WEST SIDE,13,Weekdays,24.05609182,1237,10.6637931
174,39,KENWOOD,4,Weekdays,31.82619326,194,1.672413793
175,39,KENWOOD,12,Weekend/Holidays,27.28304938,388,3.344827586
176,33,NEAR SOUTH SIDE,9,Weekend/Holidays,24.80765204,10191,87.85344828
177,32,LOOP,0,Weekend/Holidays,20.33405072,19521,168.2844828
178,60,BRIDGEPORT,20,Weekdays,30.40640139,926,7.982758621
179,60,BRIDGEPORT,21,Weekdays,35.78933507,804,6.931034483
180,6,LAKE VIEW,18,Weekend/Holidays,23.48077881,10494,90.46551724
181,6,LAKE VIEW,23,Weekdays,28.26651938,22584,194.6896552
182,23,HUMBOLDT PARK,16,Weekdays,18.05868779,753,6.49137931
183,25,AUSTIN,0,Weekdays,31.28901249,252,2.172413793
184,24,WEST TOWN,4,Weekend/Holidays,22.80673518,6045,52.11206897
185,22,LOGAN SQUARE,10,Weekdays,27.52650472,2232,19.24137931
186,28,NEAR WEST SIDE,6,Weekdays,24.06825337,20619,177.75
187,31,LOWER WEST SIDE,8,Weekend/Holidays,32.18635481,145,1.25
188,2,WEST RIDGE,15,Weekend/Holidays,19.135746,1061,9.146551724
189,5,NORTH CENTER,17,Weekend/Holidays,26.90844551,1598,13.77586207
190,56,GARFIELD RIDGE,20,Weekend/Holidays,25.97524317,781,6.732758621
191,30,SOUTH LAWNDALE,11,Weekend/Holidays,32.72530528,120,1.034482759
192,33,NEAR SOUTH SIDE,12,Weekdays,24.37183797,20908,180.2413793
193,33,NEAR SOUTH SIDE,18,Weekend/Holidays,21.86854179,7498,64.63793103
194,6,LAKE VIEW,17,Weekend/Holidays,23.70217639,10473,90.28448276
195,8,NEAR NORTH SIDE,1,Weekdays,28.11694714,33517,288.9396552
196,11,JEFFERSON PARK,20,Weekdays,38.57330894,1539,13.26724138
197,15,PORTAGE PARK,23,Weekend/Holidays,26.46075055,545,4.698275862
198,15,PORTAGE PARK,23,Weekdays,27.62983318,1268,10.93103448
199,10,NORWOOD PARK,17,Weekdays,21.79562901,1306,11.25862069
200,41,HYDE PARK,3,Weekdays,42.28866473,147,1.267241379
201,31,LOWER WEST SIDE,15,Weekend/Holidays,24.65696126,533,4.594827586
202,2,WEST RIDGE,18,Weekdays,16.48330317,3396,29.27586207
203,2,WEST RIDGE,14,Weekend/Holidays,18.83985428,1043,8.99137931
204,11,JEFFERSON PARK,0,Weekdays,26.46619773,744,6.413793103
205,42,WOODLAWN,16,Weekdays,23.54481091,875,7.543103448
206,39,KENWOOD,21,Weekdays,36.78373084,1367,11.78448276
207,32,LOOP,3,Weekdays,24.60625032,4625,39.87068966
208,7,LINCOLN PARK,17,Weekend/Holidays,21.47429341,11176,96.34482759
209,6,LAKE VIEW,14,Weekend/Holidays,23.9474594,8013,69.07758621
210,5,NORTH CENTER,20,Weekdays,31.11154933,7023,60.54310345
211,16,IRVING PARK,20,Weekend/Holidays,28.90785871,1036,8.931034483
212,12,FOREST GLEN,6,Weekend/Holidays,37.01332364,61,0.525862069
213,12,FOREST GLEN,1,Weekdays,40.43582255,189,1.629310345
214,10,NORWOOD PARK,6,Weekend/Holidays,44.23180203,157,1.353448276
215,10,NORWOOD PARK,10,Weekend/Holidays,37.89449524,306,2.637931034
216,10,NORWOOD PARK,23,Weekdays,31.01868134,883,7.612068966
217,17,DUNNING,11,Weekend/Holidays,21.12294132,116,1
218,1,ROGERS PARK,6,Weekend/Holidays,25.19202142,463,3.99137931
219,4,LINCOLN SQUARE,11,Weekend/Holidays,25.43573758,821,7.077586207
220,22,LOGAN SQUARE,18,Weekend/Holidays,25.34109848,2541,21.90517241
221,46,SOUTH CHICAGO,15,Weekdays,27.12600569,413,3.560344828
222,43,SOUTH SHORE,14,Weekend/Holidays,27.36333918,317,2.732758621
223,43,SOUTH SHORE,18,Weekdays,25.07889934,799,6.887931034
224,28,NEAR WEST SIDE,13,Weekend/Holidays,19.92718983,15573,134.25
225,16,IRVING PARK,16,Weekend/Holidays,23.73575958,1011,8.715517241
226,42,WOODLAWN,12,Weekdays,30.66342079,778,6.706896552
227,33,NEAR SOUTH SIDE,23,Weekend/Holidays,25.18189049,4466,38.5
228,39,KENWOOD,19,Weekdays,34.30140601,1486,12.81034483
229,38,GRAND BOULEVARD,8,Weekend/Holidays,31.80749419,201,1.732758621
230,75,MORGAN PARK,11,Weekdays,37.18331986,304,2.620689655
231,56,GARFIELD RIDGE,5,Weekdays,45.95083296,5242,45.18965517
232,40,WASHINGTON PARK,13,Weekdays,25.15743738,277,2.387931034
233,76,OHARE,7,Weekdays,29.41416199,25959,223.7844828
234,44,CHATHAM,9,Weekend/Holidays,32.32626031,183,1.577586207
235,35,DOUGLAS,18,Weekdays,18.885224,2771,23.88793103
236,37,FULLER PARK,12,Weekdays,26.79453083,293,2.525862069
237,71,AUBURN GRESHAM,13,Weekdays,25.53005809,539,4.646551724
238,56,GARFIELD RIDGE,8,Weekdays,33.73694152,5624,48.48275862
239,8,NEAR NORTH SIDE,3,Weekdays,21.92521379,12726,109.7068966
240,34,ARMOUR SQUARE,0,Weekend/Holidays,24.79666718,339,2.922413793
241,60,BRIDGEPORT,9,Weekdays,25.72520524,460,3.965517241
242,6,LAKE VIEW,10,Weekend/Holidays,26.76775851,5541,47.76724138
243,61,NEW CITY,22,Weekdays,32.37135027,122,1.051724138
244,1,ROGERS PARK,13,Weekend/Holidays,25.62776794,937,8.077586207
245,33,NEAR SOUTH SIDE,8,Weekend/Holidays,24.07079903,7639,65.85344828
246,28,NEAR WEST SIDE,19,Weekend/Holidays,19.76501998,19577,168.7672414
247,56,GARFIELD RIDGE,14,Weekend/Holidays,30.32089079,2284,19.68965517
248,32,LOOP,2,Weekend/Holidays,19.04361181,11372,98.03448276
249,32,LOOP,8,Weekend/Holidays,24.81211751,13940,120.1724138
250,76,OHARE,15,Weekdays,26.97508738,37700,325
251,76,OHARE,19,Weekdays,27.31946212,12759,109.9913793
252,14,ALBANY PARK,16,Weekdays,17.77803875,1489,12.8362069
253,29,NORTH LAWNDALE,11,Weekend/Holidays,26.9044032,181,1.560344828
254,41,HYDE PARK,20,Weekend/Holidays,37.00881538,809,6.974137931
255,28,NEAR WEST SIDE,5,Weekend/Holidays,28.62106737,2609,22.49137931
256,31,LOWER WEST SIDE,23,Weekdays,26.46354021,1275,10.99137931
257,11,JEFFERSON PARK,23,Weekend/Holidays,27.4844727,395,3.405172414
258,60,BRIDGEPORT,16,Weekdays,20.49760948,984,8.482758621
259,77,EDGEWATER,1,Weekdays,30.28107094,2476,21.34482759
260,5,NORTH CENTER,18,Weekend/Holidays,25.48438328,1648,14.20689655
261,70,ASHBURN,20,Weekdays,28.87390167,130,1.120689655
262,16,IRVING PARK,15,Weekdays,19.6520432,2799,24.12931034
263,25,AUSTIN,0,Weekend/Holidays,24.28083109,190,1.637931034
264,15,PORTAGE PARK,13,Weekdays,23.82306283,1288,11.10344828
265,1,ROGERS PARK,22,Weekend/Holidays,23.63006325,1158,9.982758621
266,21,AVONDALE,20,Weekdays,29.48553903,2495,21.50862069
267,33,NEAR SOUTH SIDE,7,Weekdays,24.2066246,10889,93.87068966
268,33,NEAR SOUTH SIDE,1,Weekend/Holidays,22.18693831,3365,29.00862069
269,56,GARFIELD RIDGE,11,Weekdays,35.62217154,8602,74.15517241
270,76,OHARE,17,Weekend/Holidays,28.57152758,6872,59.24137931
271,33,NEAR SOUTH SIDE,2,Weekend/Holidays,22.06876702,2544,21.93103448
272,37,FULLER PARK,6,Weekdays,28.27144052,142,1.224137931
273,5,NORTH CENTER,14,Weekdays,26.86526369,3195,27.54310345
274,66,CHICAGO LAWN,1,Weekdays,33.20592079,48,0.413793103
275,3,UPTOWN,10,Weekend/Holidays,21.77627452,2095,18.06034483
