,pickup_community_area,pickup area ,dropoff_community_area,dropoff area,trip_indicator,avg_km,avg_tm,avg_fares,avg_tolls,avg_tips,avg_extras,avg_total_fares,trips
82,2,West Ridge,68,Englewood,Inter-Area,23.16924167,42.37013889,44.94791667,0,0,0.083333333,45.03125,24
83,2,West Ridge,48,Calumet Heights,Inter-Area,36.547,49.61,57.48333333,0,0.000666667,0.1,57.584,15
84,2,West Ridge,12,Forest Glen,Inter-Area,4.920445221,17.13177933,12.56235431,0,0.158461538,0.368368298,13.11354312,429
85,2,West Ridge,15,Portage Park,Inter-Area,9.948974359,31.98809524,21.72069597,0,0.331282051,0.289377289,22.37230769,273
86,2,West Ridge,60,Bridgeport,Inter-Area,23.6486,41.21666667,40,0,0,0.142857143,40.14285714,7
87,2,West Ridge,54,Riverdale,Inter-Area,46.24725,67.43333333,73.25,0,0,0,73.25,2
88,2,West Ridge,47,Burnside,Inter-Area,43.9369,43.68333333,66,0,0,0,66,1
89,2,West Ridge,16,Irving Park,Inter-Area,5.652523333,21.10536232,15.61253623,0,0.218289855,0.26884058,16.1322029,690
90,2,West Ridge,73,Washington Heights,Inter-Area,36.31422083,45.20208333,55.88541667,0,0,0,55.88541667,24
91,2,West Ridge,39,Kenwood,Inter-Area,23.67462632,37.81491228,40.61842105,0,0,0.315789474,40.96052632,19
92,2,West Ridge,24,West Town,Inter-Area,11.86428404,38.07519001,25.07410423,0,1.102410423,0.327361564,26.58986971,307
93,2,West Ridge,37,Fuller Park,Inter-Area,25.599805,38.555,41.5625,0,0,1.3,42.8625,20
94,2,West Ridge,74,Mount Greenwood,Inter-Area,0,41,71,0,0,0,71,1
95,2,West Ridge,44,Chatham,Inter-Area,29.91464737,43.96140351,52.46052632,0,0,0,52.46052632,19
96,2,West Ridge,70,Ashburn,Inter-Area,23.38256667,56.89444444,38.625,0,0,0,38.625,12
97,2,West Ridge,64,Clearing,Inter-Area,24.65983333,39.06111111,53.16666667,0,0,0,53.16666667,3
98,2,West Ridge,63,Gage Park,Inter-Area,28.59682,55.22666667,48.25,0,0,0,48.25,5
99,2,West Ridge,25,Austin,Inter-Area,15.99995,41.42486772,30.7068254,0,0.082539683,0.103174603,30.90047619,126
100,2,West Ridge,58,Brighton Park,Inter-Area,4.396641667,11.22638889,9.861111111,0,0,0.958333333,10.84722222,36
101,2,West Ridge,35,Douglas,Inter-Area,19.80580814,43.55503876,34.2877907,0,0.159651163,0.029069767,34.48813953,86
102,2,West Ridge,59,McKinley Park,Inter-Area,0.530916667,32.47678571,4.093112245,0,0,0.984693878,5.081207483,588
103,2,West Ridge,53,West Pullman,Inter-Area,43.63744,52.69666667,67.35,0,0,0,67.35,5
104,2,West Ridge,3,Uptown,Inter-Area,5.045758409,17.58150707,14.98599809,0,0.362848976,0.16126727,15.56992854,2099
105,2,West Ridge,43,South Shore,Inter-Area,26.64298438,42.76822917,44.140625,0,0.15625,0.03125,44.328125,32
106,2,West Ridge,51,South Deering,Inter-Area,42.021,43.31666667,64.5,,0,0,64.5,1
107,2,West Ridge,1,Rogers Park,Inter-Area,2.494338307,10.58706492,8.395420415,0,0.16755964,0.177555729,8.771509582,5114
108,2,West Ridge,7,Lincoln Park,Inter-Area,9.661693579,27.40391621,21.20252732,0,0.577581967,0.215846995,22.04172131,732
109,2,West Ridge,22,Logan Square,Inter-Area,8.533,30.56891892,20.69737452,0,0.574749035,0.420849421,21.74123552,259
110,2,West Ridge,49,Roseland,Inter-Area,30.449125,47.14444444,49.0625,0,0,0,49.0625,48
111,2,West Ridge,75,Morgan Park,Inter-Area,38.71781667,62.18611111,61.33333333,0,0.24,0,61.615,12
112,2,West Ridge,18,Montclare,Inter-Area,8.7906,36.0952381,28.25,0,0,0.428571429,28.67857143,7
113,2,West Ridge,45,Avalon Park,Inter-Area,25.6473,52.04166667,54.9375,0,0,0.25,55.1875,4
114,2,West Ridge,2,West Ridge,Intra-Area,1.290275014,8.406358475,7.587256538,0.007087763,0.24398968,0.891195003,8.774939086,25774
115,2,West Ridge,33,Near South Side,Inter-Area,14.87700075,42.87325871,30.54291045,0,1.287089552,0.850746269,32.77776119,134
116,2,West Ridge,20,Hermosa,Inter-Area,5.626742526,30.7080756,22.00909794,0,0.042731959,0.038659794,22.09048969,388
117,2,West Ridge,72,Beverly,Inter-Area,27.06946667,53.88333333,43.16666667,0,4.316666667,0,47.65,3
118,2,West Ridge,26,West Garfield Park,Inter-Area,19.159,38.84375,40.5,0,0,0.3125,40.875,8
119,2,West Ridge,46,South Chicago,Inter-Area,22.83424138,44.43563218,50.50862069,0,0,0.103448276,50.62931034,29
120,2,West Ridge,57,Archer Heights,Inter-Area,13.45155,56.59166667,24,0,0,0,24,2
121,2,West Ridge,4,Lincoln Square,Inter-Area,2.733050943,12.45019074,8.652972471,0,0.243151871,0.213733375,9.148320445,3233
122,2,West Ridge,31,Lower West Side,Inter-Area,15.5296,40.8,35.51428571,0,0.94,0.214285714,36.71142857,35
123,2,West Ridge,5,North Center,Inter-Area,5.303030385,16.86645299,13.29391026,0,0.480307692,0.184615385,14.01267949,780
124,2,West Ridge,30,South Lawndale,Inter-Area,18.71088333,40.63833333,39.95833333,0,0.313333333,0.383333333,40.67166667,30
125,2,West Ridge,11,Jefferson Park,Inter-Area,7.31210292,22.73071776,18.65072993,0,1.087992701,0.324817518,20.11281022,274
126,2,West Ridge,67,West Englewood,Inter-Area,33.2948,49.64642857,53.58928571,0,0,0.357142857,53.94642857,14
127,2,West Ridge,13,North Park,Inter-Area,2.380695717,13.99533741,10.15958843,0,0.166106785,0.296996663,10.64574527,1798
128,2,West Ridge,40,Washington Park,Inter-Area,27.1586875,40.83333333,48.15625,0,0,0.5,48.71875,8
129,2,West Ridge,32,Loop,Inter-Area,13.48732858,31.40689811,27.14562669,0,1.821469793,0.641118124,29.75798918,1109
130,2,West Ridge,19,Belmont Cragin,Inter-Area,10.08270392,32.04259259,24.7945098,0,0.179215686,0.153594771,25.14366013,153
131,2,West Ridge,38,Grand Boulevard,Inter-Area,21.89538077,54.86698718,40.13942308,0,0.009615385,0.019230769,40.16826923,52
132,2,West Ridge,8,Near North Side,Inter-Area,12.0538146,31.08913586,25.61164249,0.019887693,1.061230697,0.435914834,27.21253159,2137
133,2,West Ridge,10,Norwood Park,Inter-Area,12.68921254,34.57777778,25.56880734,0,0.241804281,0.422018349,26.2540367,327
134,2,West Ridge,17,Dunning,Inter-Area,10.02195185,64.69537037,25.38425926,0,0.055555556,0.351851852,25.80092593,54
135,2,West Ridge,34,Armour Square,Inter-Area,21.19125909,34.5,38.01136364,0,1.282272727,0.090909091,39.45272727,22
136,2,West Ridge,23,Humboldt Park,Inter-Area,12.0085,35.55188406,26.28913043,0,0.36,0.239130435,26.91434783,115
137,2,West Ridge,29,North Lawndale,Inter-Area,16.56600556,47.36666667,35.33333333,0,0.388888889,0.277777778,36.05555556,18
138,2,West Ridge,6,Lake View,Inter-Area,7.798161275,26.8375,18.0498366,0,0.496658497,0.200571895,18.7968219,1224
139,2,West Ridge,56,Garfield Ridge,Inter-Area,28.42895472,47.23312369,50.60062893,0,3.947044025,0.418238994,55.14515723,159
140,2,West Ridge,76,O'Hare,Inter-Area,16.46334981,38.66442916,34.2211575,0,2.304274194,1.018619545,37.65814042,2108
141,2,West Ridge,71,Auburn Gresham,Inter-Area,26.5629,46.70507246,44.89130435,0,0.239130435,0.065217391,45.2173913,23
142,2,West Ridge,42,Woodlawn,Inter-Area,27.80965385,38.70064103,45.96153846,0,0,1,46.96153846,26
143,2,West Ridge,14,Albany Park,Inter-Area,4.811561394,16.5122337,12.72405423,0,0.148037444,0.192866365,13.08432537,1549
144,2,West Ridge,61,New City,Inter-Area,24.32417273,38.00909091,40.15909091,0,0,0.090909091,40.25,11
145,2,West Ridge,65,West Lawn,Inter-Area,25.9854,56.23888889,42.25,0,0,0,42.25,3
146,2,West Ridge,41,Hyde Park,Inter-Area,25.97535743,40.53663366,45.48514851,0,0.682673267,0.316831683,46.51435644,101
147,2,West Ridge,69,Greater Grand Crossing,Inter-Area,27.985664,46.73866667,47.2,0,0.44,0.12,47.8,25
148,2,West Ridge,27,East Garfield Park,Inter-Area,7.945933333,34.97198068,25.4384058,0,0.043478261,0.050724638,25.5326087,69
149,2,West Ridge,50,Pullman,Inter-Area,40.31976667,44.18888889,61.58333333,0,0,0,61.75,3
150,3,Uptown,44,Chatham,Inter-Area,22.38246075,36.57305296,43.05373832,0,0.096728972,0.046728972,43.20654206,107
151,3,Uptown,39,Kenwood,Inter-Area,16.40868421,26.6783208,33.05451128,0,0.534360902,0.101503759,33.73172932,133
152,3,Uptown,72,Beverly,Inter-Area,34.39067333,43.67555556,53.53333333,0,2.008,2.633333333,58.308,15
153,3,Uptown,10,Norwood Park,Inter-Area,12.02246316,35.67780027,26.05263158,0,1.091659919,0.285425101,27.56919028,247
154,3,Uptown,48,Calumet Heights,Inter-Area,27.29525,42.30952381,46.67857143,0,1.217857143,0.5,48.39642857,14
155,3,Uptown,26,West Garfield Park,Inter-Area,18.51335714,32.22108844,34.33163265,0,0.244897959,0.469387755,35.07653061,49
156,3,Uptown,6,Lake View,Inter-Area,2.406936422,9.286640001,8.841645704,0.002903475,0.527859862,0.223939087,9.668903667,20751
157,3,Uptown,5,North Center,Inter-Area,3.105243099,11.74227809,9.646741919,0,0.616269882,0.218594151,10.55869677,1949
158,3,Uptown,45,Avalon Park,Inter-Area,31.12726296,44.32314815,50.54166667,0,0,0.268518519,50.81018519,54
