,date,median_downtime,company,day,weekday,time_bin,month,season,holiday,fare,num_cabs,trips_per_cab,earnings_per_cab
63,2019-01-16,30.0,Blue Ribbon Taxi Association Inc.,2,1,4,1,Winter,0,13.022235576923077,102,4.078431372549019,53.11029411764706
64,2019-01-17,15.0,Blue Ribbon Taxi Association Inc.,3,1,1,1,Winter,0,10.911357702349868,82,4.670731707317073,50.96402439024389
65,2019-01-17,15.0,Blue Ribbon Taxi Association Inc.,3,1,2,1,Winter,0,9.956507936507936,93,4.064516129032258,40.468387096774194
66,2019-01-17,15.0,Blue Ribbon Taxi Association Inc.,3,1,3,1,Winter,0,11.240175658720203,122,6.532786885245901,73.42967213114754
67,2019-01-17,15.0,Blue Ribbon Taxi Association Inc.,3,1,4,1,Winter,0,12.135784313725491,103,4.951456310679611,60.08980582524272
68,2019-01-18,15.0,Blue Ribbon Taxi Association Inc.,4,1,1,1,Winter,0,11.561896551724136,81,4.296296296296297,49.67333333333333
69,2019-01-18,15.0,Blue Ribbon Taxi Association Inc.,4,1,2,1,Winter,0,11.514468664850135,91,4.032967032967033,46.43747252747252
70,2019-01-18,15.0,Blue Ribbon Taxi Association Inc.,4,1,3,1,Winter,0,11.031321989528797,123,6.211382113821138,68.51975609756097
71,2019-01-18,15.0,Blue Ribbon Taxi Association Inc.,4,1,4,1,Winter,0,10.788270377733598,100,5.03,54.265
72,2019-01-19,15.0,Blue Ribbon Taxi Association Inc.,5,0,1,1,Winter,0,13.118320610687023,34,3.8529411764705883,50.544117647058826
73,2019-01-19,15.0,Blue Ribbon Taxi Association Inc.,5,0,2,1,Winter,0,9.851315789473684,43,4.4186046511627906,43.52906976744186
74,2019-01-19,15.0,Blue Ribbon Taxi Association Inc.,5,0,3,1,Winter,0,9.355091383812011,78,4.910256410256411,45.93589743589744
75,2019-01-19,15.0,Blue Ribbon Taxi Association Inc.,5,0,4,1,Winter,0,9.610576923076923,73,6.410958904109589,61.613013698630134
76,2019-01-20,30.0,Blue Ribbon Taxi Association Inc.,6,0,1,1,Winter,0,11.519108280254777,47,3.3404255319148937,38.47872340425532
77,2019-01-20,22.5,Blue Ribbon Taxi Association Inc.,6,0,2,1,Winter,0,9.745426829268293,42,3.9047619047619047,38.05357142857143
78,2019-01-20,30.0,Blue Ribbon Taxi Association Inc.,6,0,3,1,Winter,0,12.014705882352942,77,3.7532467532467533,45.09415584415584
79,2019-01-20,15.0,Blue Ribbon Taxi Association Inc.,6,0,4,1,Winter,0,10.888297872340425,73,6.438356164383562,70.1027397260274
80,2019-01-21,30.0,Blue Ribbon Taxi Association Inc.,0,1,1,1,Winter,1,10.57304347826087,60,3.45,36.477
81,2019-01-21,30.0,Blue Ribbon Taxi Association Inc.,0,1,2,1,Winter,1,11.599056603773585,70,3.0285714285714285,35.128571428571426
82,2019-01-21,30.0,Blue Ribbon Taxi Association Inc.,0,1,3,1,Winter,1,11.43,101,4.792079207920792,54.77346534653465
83,2019-01-21,30.0,Blue Ribbon Taxi Association Inc.,0,1,4,1,Winter,1,13.377868852459017,79,3.8607594936708862,51.64873417721519
84,2019-01-22,15.0,Blue Ribbon Taxi Association Inc.,1,1,1,1,Winter,0,10.242613908872903,82,5.085365853658536,52.08743902439024
85,2019-01-22,15.0,Blue Ribbon Taxi Association Inc.,1,1,2,1,Winter,0,10.505386904761904,85,3.9529411764705884,41.52717647058824
86,2019-01-22,15.0,Blue Ribbon Taxi Association Inc.,1,1,3,1,Winter,0,10.389856527977047,112,6.223214285714286,64.65830357142856
