,date,median_downtime,company,weekday,season,holiday,fare,num_cabs,trips_per_cab,earnings_per_cab,distance
394,31/1/2019,30,Chicago Carriage Cab Corp,1,Winter,0,14.80273179,368,8.206521739,121.4789402,7.493737748
395,1/2/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.76853823,415,13.58313253,173.436747,5.71243995
396,2/2/2019,30,Chicago Carriage Cab Corp,0,Winter,0,11.84110327,351,7.66951567,90.81552707,5.302014859
397,3/2/2019,30,Chicago Carriage Cab Corp,0,Winter,0,15.28561151,326,6.395705521,97.76226994,7.822871942
398,4/2/2019,30,Chicago Carriage Cab Corp,1,Winter,0,12.94847214,426,11.24647887,145.6247183,6.021673972
399,5/2/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.0306151,430,12.47674419,150.102907,5.277751351
400,6/2/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.56330927,429,12.59440559,158.2274126,5.730422358
401,7/2/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.80641723,435,14.62298851,187.268092,5.789283446
402,8/2/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.10818578,442,14.54072398,176.0617873,5.350216275
403,9/2/2019,30,Chicago Carriage Cab Corp,0,Winter,0,12.08713826,356,8.735955056,105.5926966,5.488632797
404,10/2/2019,30,Chicago Carriage Cab Corp,0,Winter,0,15.61461976,322,7.105590062,110.951087,8.046391608
405,11/2/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.57837205,433,11.83140878,148.8198614,5.677364045
