,pickup_community_area,pickup_ca,start_hour,cal_day_desc,average_speed,total_trips,avg_trips
228,40,WASHINGTON PARK,10,Weekend/Holidays,19.86356849,125,1.077586207
229,14,ALBANY PARK,5,Weekdays,33.16811961,672,5.793103448
230,32,LOOP,19,Weekend/Holidays,16.06619644,42614,367.362069
231,6,LAKE VIEW,3,Weekend/Holidays,21.74431177,13339,114.9913793
232,77,EDGEWATER,9,Weekdays,22.56091637,6044,52.10344828
233,33,NEAR SOUTH SIDE,11,Weekend/Holidays,24.95338284,6549,56.45689655
234,8,NEAR NORTH SIDE,7,Weekend/Holidays,36.20168639,15313,132.0086207
235,76,OHARE,10,Weekend/Holidays,45.30458035,9589,82.6637931
236,7,LINCOLN PARK,12,Weekdays,19.50037749,10016,86.34482759
237,16,IRVING PARK,5,Weekdays,35.22577611,745,6.422413793
238,10,NORWOOD PARK,12,Weekdays,26.55186776,470,4.051724138
239,24,WEST TOWN,3,Weekend/Holidays,20.16720762,4616,39.79310345
240,24,WEST TOWN,19,Weekdays,18.2407337,6111,52.68103448
241,41,HYDE PARK,7,Weekdays,29.30865079,790,6.810344828
242,35,DOUGLAS,13,Weekend/Holidays,21.5389235,496,4.275862069
243,49,ROSELAND,5,Weekdays,53.53335228,250,2.155172414
244,60,BRIDGEPORT,14,Weekdays,25.34022605,255,2.198275862
245,6,LAKE VIEW,5,Weekdays,35.78578223,5890,50.77586207
246,2,WEST RIDGE,4,Weekend/Holidays,13.93978493,411,3.543103448
247,1,ROGERS PARK,22,Weekdays,14.8859782,893,7.698275862
248,21,AVONDALE,7,Weekdays,20.65559601,560,4.827586207
249,48,CALUMET HEIGHTS,0,Weekdays,44.22168546,6,0.051724138
250,23,HUMBOLDT PARK,4,Weekdays,32.90003925,91,0.784482759
251,16,IRVING PARK,11,Weekdays,20.4686354,1885,16.25
252,1,ROGERS PARK,5,Weekdays,22.81007545,1644,14.17241379
253,4,LINCOLN SQUARE,11,Weekdays,20.7577457,2183,18.81896552
254,68,ENGLEWOOD,16,Weekdays,20.84604125,175,1.50862069
255,37,FULLER PARK,21,Weekdays,36.93972079,35,0.301724138
256,39,KENWOOD,15,Weekdays,16.08183819,756,6.517241379
257,39,KENWOOD,20,Weekdays,31.25562551,312,2.689655172
258,43,SOUTH SHORE,8,Weekend/Holidays,39.14160811,199,1.715517241
259,35,DOUGLAS,18,Weekend/Holidays,19.38421257,373,3.215517241
260,35,DOUGLAS,13,Weekdays,17.57770437,1675,14.43965517
261,56,GARFIELD RIDGE,19,Weekdays,35.08985721,14372,123.8965517
262,28,NEAR WEST SIDE,4,Weekdays,38.30231609,1306,11.25862069
263,56,GARFIELD RIDGE,13,Weekdays,35.70066698,13246,114.1896552
264,47,BURNSIDE,10,Weekdays,30.93985303,92,0.793103448
265,46,SOUTH CHICAGO,6,Weekdays,38.34274108,180,1.551724138
266,73,WASHINGTON HEIGHTS,9,Weekdays,26.98953385,237,2.043103448
267,10,NORWOOD PARK,13,Weekdays,24.98607346,475,4.094827586
268,56,GARFIELD RIDGE,15,Weekdays,31.53059269,12763,110.0258621
269,16,IRVING PARK,3,Weekdays,22.17846267,1012,8.724137931
270,16,IRVING PARK,19,Weekdays,15.25814866,1650,14.22413793
271,24,WEST TOWN,8,Weekend/Holidays,26.54926613,647,5.577586207
272,1,ROGERS PARK,16,Weekdays,17.24070818,1522,13.12068966
273,38,GRAND BOULEVARD,9,Weekdays,14.07121387,970,8.362068966
274,75,MORGAN PARK,9,Weekend/Holidays,49.19093205,66,0.568965517
275,22,LOGAN SQUARE,16,Weekdays,14.96953781,1422,12.25862069
276,56,GARFIELD RIDGE,23,Weekend/Holidays,37.96199224,3778,32.56896552
277,22,LOGAN SQUARE,17,Weekend/Holidays,15.57890195,622,5.362068966
278,14,ALBANY PARK,3,Weekend/Holidays,23.23826774,784,6.75862069
279,1,ROGERS PARK,19,Weekend/Holidays,18.81244657,508,4.379310345
280,25,AUSTIN,16,Weekdays,22.54576724,311,2.681034483
281,24,WEST TOWN,20,Weekdays,17.33490134,5602,48.29310345
282,21,AVONDALE,22,Weekdays,14.47519424,629,5.422413793
283,5,NORTH CENTER,13,Weekend/Holidays,17.55427248,437,3.767241379
284,13,NORTH PARK,17,Weekdays,10.63304224,656,5.655172414
285,13,NORTH PARK,23,Weekdays,15.80735117,148,1.275862069
286,30,SOUTH LAWNDALE,18,Weekdays,23.45070707,91,0.784482759
287,16,IRVING PARK,14,Weekend/Holidays,16.88825438,825,7.112068966
288,33,NEAR SOUTH SIDE,17,Weekdays,15.68225037,25836,222.7241379
289,2,WEST RIDGE,10,Weekend/Holidays,21.15119921,935,8.060344828
290,10,NORWOOD PARK,15,Weekdays,16.75049064,583,5.025862069
291,15,PORTAGE PARK,15,Weekdays,15.66930091,1087,9.370689655
292,77,EDGEWATER,23,Weekdays,14.51701151,2285,19.69827586
293,3,UPTOWN,23,Weekdays,16.5337173,3626,31.25862069
294,71,AUBURN GRESHAM,12,Weekdays,29.59410441,348,3
295,21,AVONDALE,19,Weekdays,12.41005682,1285,11.07758621
296,76,OHARE,7,Weekend/Holidays,47.07205351,3511,30.26724138
297,71,AUBURN GRESHAM,4,Weekdays,31.73849229,166,1.431034483
298,41,HYDE PARK,18,Weekdays,18.87277658,1842,15.87931034
299,6,LAKE VIEW,11,Weekdays,23.11247833,14183,122.2672414
300,77,EDGEWATER,22,Weekdays,15.05861144,2335,20.12931034
301,28,NEAR WEST SIDE,2,Weekend/Holidays,20.70992362,7476,64.44827586
302,11,JEFFERSON PARK,1,Weekdays,14.20664339,960,8.275862069
303,3,UPTOWN,17,Weekdays,14.79244043,4854,41.84482759
304,33,NEAR SOUTH SIDE,0,Weekdays,19.79093676,1989,17.14655172
305,7,LINCOLN PARK,13,Weekdays,18.51654609,9795,84.43965517
306,7,LINCOLN PARK,16,Weekdays,14.55442924,9062,78.12068966
307,33,NEAR SOUTH SIDE,22,Weekdays,19.02120606,5721,49.31896552
308,15,PORTAGE PARK,10,Weekdays,19.56863746,949,8.181034483
309,3,UPTOWN,1,Weekdays,18.37442291,1582,13.63793103
310,44,CHATHAM,12,Weekdays,24.66486025,599,5.163793103
311,13,NORTH PARK,21,Weekdays,23.10363107,223,1.922413793
312,1,ROGERS PARK,6,Weekdays,30.64007368,1174,10.12068966
313,68,ENGLEWOOD,15,Weekdays,20.93152375,383,3.301724138
314,7,LINCOLN PARK,11,Weekdays,20.03449458,10230,88.18965517
315,5,NORTH CENTER,10,Weekend/Holidays,21.24192524,406,3.5
316,7,LINCOLN PARK,14,Weekdays,17.31957125,9221,79.49137931
317,24,WEST TOWN,12,Weekdays,19.05990873,3965,34.18103448
318,28,NEAR WEST SIDE,23,Weekdays,19.35754825,33526,289.0172414
319,76,OHARE,22,Weekdays,41.16873662,49313,425.112069
320,2,WEST RIDGE,17,Weekdays,13.67797766,2546,21.94827586
321,71,AUBURN GRESHAM,18,Weekdays,29.97867306,73,0.629310345
322,1,ROGERS PARK,11,Weekend/Holidays,20.07832023,709,6.112068966
323,19,BELMONT CRAGIN,8,Weekdays,17.75123488,236,2.034482759
324,69,GREATER GRAND CROSSING,11,Weekdays,28.52731246,424,3.655172414
325,77,EDGEWATER,17,Weekdays,15.24271719,3735,32.19827586
326,41,HYDE PARK,16,Weekdays,22.1825867,4337,37.38793103
327,4,LINCOLN SQUARE,18,Weekdays,14.27892148,1669,14.38793103
328,53,WEST PULLMAN,7,Weekdays,27.94087649,399,3.439655172
329,33,NEAR SOUTH SIDE,6,Weekend/Holidays,43.85774066,1212,10.44827586
330,60,BRIDGEPORT,13,Weekend/Holidays,22.07230555,74,0.637931034
331,56,GARFIELD RIDGE,11,Weekend/Holidays,35.5380053,2880,24.82758621
332,3,UPTOWN,9,Weekdays,20.9740919,8085,69.69827586
333,3,UPTOWN,7,Weekdays,25.27666012,5618,48.43103448
334,77,EDGEWATER,7,Weekdays,24.92203303,4229,36.45689655
335,56,GARFIELD RIDGE,23,Weekdays,37.71389295,8251,71.12931034
336,2,WEST RIDGE,13,Weekend/Holidays,18.0917732,833,7.181034483
337,2,WEST RIDGE,8,Weekdays,16.22516872,3116,26.86206897
