S/N,pickup_community_area,pickup_ca,dropoff_community_area,dropoff_ca,time_indicator,cal_day_desc,avg_trips,total_trips,average_time,average_km,average_fare
24119,67,WEST ENGLEWOOD,41,HYDE PARK,PM Period,Weekend/Holidays,0.051724138,6,199.4555556,10.00346667,23.45833333
11428,44,CHATHAM,11,JEFFERSON PARK,Lunch Period,Weekend/Holidays,0.00862069,1,197.2,31.9746,48.25
23495,73,WASHINGTON HEIGHTS,8,NEAR NORTH SIDE,Night,Weekend/Holidays,0.051724138,6,196.8111111,22.72783333,36.91666667
24515,30,SOUTH LAWNDALE,15,PORTAGE PARK,Night,Weekdays,0.060344828,7,196.1928571,16.7141,38.25
1147,59,MCKINLEY PARK,33,NEAR SOUTH SIDE,Lunch Period,Weekdays,0.663793103,77,195.2474026,5.350636364,9.884285714
21975,45,AVALON PARK,43,SOUTH SHORE,Night,Weekend/Holidays,0.043103448,5,194.02,2.08012,7.85
21297,68,ENGLEWOOD,35,DOUGLAS,Night,Weekdays,0.034482759,4,192.6958333,3.698975,12.625
22890,61,NEW CITY,34,ARMOUR SQUARE,Night,Weekdays,0.043103448,5,192.2366667,10.33942,21.55
20067,77,EDGEWATER,44,CHATHAM,Night,Weekdays,0.034482759,4,191.8333333,32.155725,49.6875
9733,2,WEST RIDGE,31,LOWER WEST SIDE,PM Period,Weekend/Holidays,0.00862069,1,191.35,3.2844,8.5
5135,59,MCKINLEY PARK,8,NEAR NORTH SIDE,AM Period,Weekdays,1,116,191.1711207,9.00170431,21.44827586
12801,26,WEST GARFIELD PARK,56,GARFIELD RIDGE,Night,Weekdays,0.00862069,1,191,16.583,80.75
19832,69,GREATER GRAND CROSSING,7,LINCOLN PARK,Night,Weekend/Holidays,0.034482759,4,189.9875,15.19035,38.45
15765,21,AVONDALE,35,DOUGLAS,Lunch Period,Weekdays,0.017241379,2,189.9333333,25.81635,50.75
21711,48,CALUMET HEIGHTS,32,LOOP,PM Period,Weekend/Holidays,0.043103448,5,188.81,16.06136,30.35
23792,3,UPTOWN,38,GRAND BOULEVARD,Lunch Period,Weekend/Holidays,0.051724138,6,187.5222222,7.862166667,15.375
23543,39,KENWOOD,24,WEST TOWN,Night,Weekend/Holidays,0.051724138,6,187.3027778,19.14558333,37.91333333
4760,59,MCKINLEY PARK,33,NEAR SOUTH SIDE,AM Period,Weekdays,0.853448276,99,185.6930976,5.194933333,14.91252525
10718,37,FULLER PARK,45,AVALON PARK,AM Period,Weekend/Holidays,0.00862069,1,184,0,3.25
26279,6,LAKE VIEW,68,ENGLEWOOD,Night,Weekend/Holidays,0.077586207,9,183.0185185,21.86201111,39.36111111
22561,1,ROGERS PARK,38,GRAND BOULEVARD,PM Period,Weekend/Holidays,0.043103448,5,182.4633333,15.09214,26.25
21162,35,DOUGLAS,22,LOGAN SQUARE,Night,Weekdays,0.034482759,4,180.3083333,14.799925,38.225
23540,43,SOUTH SHORE,50,PULLMAN,PM Period,Weekend/Holidays,0.051724138,6,178.6861111,10.76016667,21.04166667
24278,7,LINCOLN PARK,44,CHATHAM,Night,Weekend/Holidays,0.060344828,7,177.9857143,14.8028,38.3
30151,59,MCKINLEY PARK,16,IRVING PARK,AM Period,Weekdays,0.155172414,18,176.7,9.177,18.63888889
19735,22,LOGAN SQUARE,59,MCKINLEY PARK,Night,Weekdays,0.034482759,4,176.5583333,7.80045,26.375
23500,66,CHICAGO LAWN,56,GARFIELD RIDGE,PM Period,Weekdays,0.051724138,6,176.5361111,9.673416667,29.4
23753,38,GRAND BOULEVARD,2,WEST RIDGE,PM Period,Weekdays,0.051724138,6,175.1305556,14.54366667,33.79166667
21652,35,DOUGLAS,24,WEST TOWN,AM Period,Weekend/Holidays,0.043103448,5,174.4433333,8.20456,16.44
24511,37,FULLER PARK,32,LOOP,Lunch Period,Weekend/Holidays,0.060344828,7,172.4071429,6.7505,14.57142857
22314,2,WEST RIDGE,35,DOUGLAS,PM Period,Weekend/Holidays,0.043103448,5,171.79,21.36148,37.65
23957,59,MCKINLEY PARK,77,EDGEWATER,Lunch Period,Weekdays,0.051724138,6,168.3916667,13.3791,25.86666667
23692,68,ENGLEWOOD,60,BRIDGEPORT,PM Period,Weekdays,0.051724138,6,167.0611111,18.46133333,31.96666667
12899,37,FULLER PARK,76,OHARE,Lunch Period,Weekdays,0.00862069,1,167,2.254,90.75
22892,51,SOUTH DEERING,46,SOUTH CHICAGO,Night,Weekdays,0.043103448,5,163.6833333,6.80386,14.6
22068,15,PORTAGE PARK,33,NEAR SOUTH SIDE,Night,Weekdays,0.043103448,5,162.85,21.14896,47.94
13908,10,NORWOOD PARK,46,SOUTH CHICAGO,Lunch Period,Weekdays,0.017241379,2,162.6666667,65.3016,117.5
16323,13,NORTH PARK,43,SOUTH SHORE,Lunch Period,Weekdays,0.017241379,2,161.1666667,17.25115,53.75
22203,48,CALUMET HEIGHTS,76,OHARE,AM Period,Weekdays,0.043103448,5,161.1166667,36.34414,56.854
15424,59,MCKINLEY PARK,22,LOGAN SQUARE,AM Period,Weekdays,0.017241379,2,160.3416667,6.5044,12.375
25675,68,ENGLEWOOD,76,OHARE,Night,Weekend/Holidays,0.068965517,8,158.68125,40.3405625,61.5625
18872,59,MCKINLEY PARK,5,NORTH CENTER,Lunch Period,Weekdays,0.025862069,3,157.9611111,10.39523333,29.66666667
11683,1,ROGERS PARK,72,BEVERLY,PM Period,Weekdays,0.00862069,1,157,0,103
7952,10,NORWOOD PARK,59,MCKINLEY PARK,AM Period,Weekdays,0.00862069,1,156,1.449,72.75
6687,59,MCKINLEY PARK,16,IRVING PARK,Lunch Period,Weekdays,0.362068966,42,155.6412698,8.296866667,16.70238095
11180,10,NORWOOD PARK,35,DOUGLAS,PM Period,Weekdays,0.00862069,1,155.5,58.5396,110.25
27257,35,DOUGLAS,30,SOUTH LAWNDALE,PM Period,Weekdays,0.094827586,11,155.0151515,7.6475,19.85454545
26777,48,CALUMET HEIGHTS,41,HYDE PARK,Lunch Period,Weekend/Holidays,0.086206897,10,154.615,4.12965,18.375
11374,64,CLEARING,38,GRAND BOULEVARD,AM Period,Weekdays,0.00862069,1,154,0,65.75
25265,58,BRIGHTON PARK,35,DOUGLAS,Lunch Period,Weekdays,0.068965517,8,153.4854167,3.1374875,10.665
19347,59,MCKINLEY PARK,65,WEST LAWN,AM Period,Weekdays,0.025862069,3,152.3277778,18.20373333,29.75
25949,57,ARCHER HEIGHTS,43,SOUTH SHORE,PM Period,Weekdays,0.077586207,9,151.2685185,22.17506667,36.83333333
26074,15,PORTAGE PARK,56,GARFIELD RIDGE,PM Period,Weekdays,0.077586207,9,151.1481481,17.41483333,42.15666667
24459,68,ENGLEWOOD,28,NEAR WEST SIDE,Night,Weekend/Holidays,0.060344828,7,151.1404762,9.3403,19.96428571
23024,49,ROSELAND,54,RIVERDALE,Night,Weekdays,0.051724138,6,149.0694444,5.286166667,10.79166667
24461,42,WOODLAWN,46,SOUTH CHICAGO,PM Period,Weekend/Holidays,0.060344828,7,148.8904762,2.5714,9.357142857
29388,49,ROSELAND,32,LOOP,PM Period,Weekend/Holidays,0.137931034,16,148.6302083,16.40690625,29.5125
10589,11,JEFFERSON PARK,60,BRIDGEPORT,Lunch Period,Weekdays,0.00862069,1,148.5333333,19.7708,32.5
19873,25,AUSTIN,30,SOUTH LAWNDALE,PM Period,Weekend/Holidays,0.034482759,4,147.4291667,7.9695,19.5625
22457,7,LINCOLN PARK,18,MONTCLARE,Night,Weekend/Holidays,0.043103448,5,146.7166667,13.11828,30.338
22750,68,ENGLEWOOD,42,WOODLAWN,Night,Weekdays,0.043103448,5,146.0566667,7.85358,20.65
10762,12,FOREST GLEN,59,MCKINLEY PARK,Lunch Period,Weekend/Holidays,0.00862069,1,146,2.093,83.5
8773,70,ASHBURN,18,MONTCLARE,PM Period,Weekdays,0.00862069,1,145.4833333,27.209,50
23848,58,BRIGHTON PARK,56,GARFIELD RIDGE,Night,Weekend/Holidays,0.051724138,6,145.0527778,3.995483333,15.70833333
11515,27,EAST GARFIELD PARK,53,WEST PULLMAN,PM Period,Weekdays,0.00862069,1,143,26.887,43.75
25018,70,ASHBURN,42,WOODLAWN,PM Period,Weekdays,0.060344828,7,142.9547619,9.384,26.25285714
27496,48,CALUMET HEIGHTS,33,NEAR SOUTH SIDE,Lunch Period,Weekend/Holidays,0.094827586,11,141.9545455,11.90229091,23.61636364
7823,18,MONTCLARE,63,GAGE PARK,Lunch Period,Weekdays,0.00862069,1,141.3166667,23.7314,0.01
9980,14,ALBANY PARK,35,DOUGLAS,Night,Weekend/Holidays,0.00862069,1,141.2666667,26.6294,78.5
30871,30,SOUTH LAWNDALE,8,NEAR NORTH SIDE,Night,Weekdays,0.181034483,21,141.1063492,8.883366667,22.79047619
24930,36,OAKLAND,3,UPTOWN,PM Period,Weekdays,0.060344828,7,140.802381,12.7167,26.07142857
20777,70,ASHBURN,4,LINCOLN SQUARE,AM Period,Weekdays,0.034482759,4,140.2,49.11305,89.5625
23023,51,SOUTH DEERING,34,ARMOUR SQUARE,Night,Weekdays,0.051724138,6,139.7472222,19.70908333,31.20833333
27910,35,DOUGLAS,77,EDGEWATER,Lunch Period,Weekend/Holidays,0.103448276,12,139.6944444,18.140675,30.475
21472,34,ARMOUR SQUARE,37,FULLER PARK,AM Period,Weekend/Holidays,0.043103448,5,139.4033333,1.05294,7.15
16219,59,MCKINLEY PARK,12,FOREST GLEN,PM Period,Weekdays,0.017241379,2,137,0,3.25
25117,6,LAKE VIEW,36,OAKLAND,Night,Weekdays,0.068965517,8,136.1520833,12.48555,30.07625
31174,59,MCKINLEY PARK,56,GARFIELD RIDGE,Lunch Period,Weekdays,0.198275862,23,134.9615942,7.6013,17.76521739
22581,61,NEW CITY,42,WOODLAWN,Lunch Period,Weekend/Holidays,0.043103448,5,134.29,10.55516,57.8
16973,43,SOUTH SHORE,7,LINCOLN PARK,PM Period,Weekend/Holidays,0.017241379,2,134.2833333,0.5635,16.125
27657,16,IRVING PARK,56,GARFIELD RIDGE,PM Period,Weekdays,0.094827586,11,133.7954545,20.83925455,45.97454545
18562,69,GREATER GRAND CROSSING,26,WEST GARFIELD PARK,PM Period,Weekend/Holidays,0.025862069,3,132.6388889,21.24663333,33.83333333
28452,38,GRAND BOULEVARD,56,GARFIELD RIDGE,PM Period,Weekend/Holidays,0.112068966,13,132.0576923,10.76346923,33.25
28297,46,SOUTH CHICAGO,57,ARCHER HEIGHTS,PM Period,Weekdays,0.112068966,13,131.8448718,18.97570769,33.65384615
29532,16,IRVING PARK,56,GARFIELD RIDGE,Lunch Period,Weekdays,0.137931034,16,131.8072917,28.16393125,48.14125
14580,24,WEST TOWN,46,SOUTH CHICAGO,PM Period,Weekend/Holidays,0.017241379,2,131.1666667,48.9601,76.875
27986,29,NORTH LAWNDALE,6,LAKE VIEW,Night,Weekend/Holidays,0.103448276,12,130.7486111,16.90634167,47.95916667
24879,42,WOODLAWN,44,CHATHAM,Night,Weekdays,0.060344828,7,130.3833333,5.7638,13.89285714
29615,2,WEST RIDGE,33,NEAR SOUTH SIDE,Night,Weekdays,0.137931034,16,130.0614583,13.90536875,31.946875
17337,77,EDGEWATER,30,SOUTH LAWNDALE,Lunch Period,Weekdays,0.025862069,3,129.2944444,16.37906667,28.66666667
29672,39,KENWOOD,3,UPTOWN,Night,Weekdays,0.137931034,16,129.2458333,17.45743125,30.140625
